Dataset,Subject,Time,Binding,Vaccine Scheme,Figure
2016 Tam,Mouse_4,Day42,23.4358,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_4,Day49,24.03637,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_4,Day56,23.20534,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_4,Day63,21.41085,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_4,Day70,25.69408,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_4,Day77,21.52785,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_4,Day84,19.85561,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_4,Day125,12.63113,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_4,Day139,10.364,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day7,0.023394,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day14,8.122602,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day21,3.983698,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day28,33.33221,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day35,37.60399,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day42,42.3504,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day49,31.85523,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day56,14.74326,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day63,36.95768,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day70,46.45653,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day77,32.75071,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day84,26.96649,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day125,16.99425,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_5,Day139,13.3676,1wk Exp-inc Prime/Bolus Boost Day 21,Fig1C-Blue
2016 Tam,Mouse_6,Day7,0.223733,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day14,1.299696,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day21,1.171285,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day28,11.09144,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day35,14.07505,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day42,13.20137,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day49,15.15325,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day56,12.30235,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day63,8.282596,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day70,12.38801,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day77,14.23471,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day84,14.78691,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day125,9.312757,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_6,Day139,8.83132,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day7,0.24902,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day14,0.704448,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day21,0.481067,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day28,11.15009,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day35,10.14481,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day42,10.02331,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day49,9.890443,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day56,7.050255,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day63,8.170758,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day70,9.363772,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day77,8.169378,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day84,7.545209,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day125,5.783886,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_7,Day139,4.897196,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day7,0.089087,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day14,0.620267,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day21,0.414946,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day28,2.560788,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
2016 Tam,Mouse_8,Day35,4.214208,1wk Exp-dec Prime/Bolus Boost Day 21,Fig1C-Green
