1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,106,107,108,109
0.06,0.06,0.06,0.06,0.06,18.535,18.535,18.535,18.535,18.535,4.285,4.285,4.285,4.285,4.285,30,30,30,30,30,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,30.0,30.0,30.0,30.0,30.0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
0.156,0.156,0.156,0.156,0.156,7.129,7.129,7.129,7.129,7.129,4.285,4.285,4.285,4.285,4.285,0,0,0,0,0,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.406,0.406,0.406,0.406,0.406,2.742,2.742,2.742,2.742,2.742,4.285,4.285,4.285,4.285,4.285,0,0,0,0,0,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,4.285,4.285,4.285,4.285,4.285,0,0,0,0,0,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156
2.742,2.742,2.742,2.742,2.742,0.406,0.406,0.406,0.406,0.406,4.285,4.285,4.285,4.285,4.285,0,0,0,0,0,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.129,7.129,7.129,7.129,7.129,0.156,0.156,0.156,0.156,0.156,4.285,4.285,4.285,4.285,4.285,0,0,0,0,0,7.129,7.129,7.129,7.129,7.129,7.129,7.129,7.129,7.129,7.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.535,18.535,18.535,18.535,18.535,0.06,0.06,0.06,0.06,0.06,4.285,4.285,4.285,4.285,4.285,0,0,0,0,0,18.535,18.535,18.535,18.535,18.535,18.535,18.535,18.535,18.535,18.535,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,0.406,0.406,0.406,0.406,0.406,0.406,0.406,0.406
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,2.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
